,id,readable,title,link,duration,rank,explicit_lyrics,preview,id,name,link,picture,picture_small,picture_medium,picture_big,picture_xl,tracklist,type
0,72160317,True,The Monster,https://www.deezer.com/track/72160317,250,915719,True,https://cdns-preview-a.dzcdn.net/stream/c-a8f59d5c41501a2a767a088d92946325-1.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
1,6461440,True,Love The Way You Lie,https://www.deezer.com/track/6461440,263,945116,True,https://cdns-preview-1.dzcdn.net/stream/c-1ed50e5b3118c99be858fc305609e62a-15.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
2,916424,True,Without Me,https://www.deezer.com/track/916424,290,961431,True,https://cdns-preview-c.dzcdn.net/stream/c-cca63b2c92773d54e61c5b4d17695bd2-8.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
3,6461432,True,Not Afraid,https://www.deezer.com/track/6461432,248,904410,True,https://cdns-preview-0.dzcdn.net/stream/c-04c2c479846725eec24a3f40e837d35e-16.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
4,1109739,True,Mockingbird,https://www.deezer.com/track/1109739,251,990844,True,https://cdns-preview-6.dzcdn.net/stream/c-655dfb802c35579d26a32136e3d0e7b3-12.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
5,1109737,True,The Real Slim Shady,https://www.deezer.com/track/1109737,284,983206,True,https://cdns-preview-d.dzcdn.net/stream/c-d28ee67c24d60e740866c7709d772f55-12.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
6,916426,True,Sing For The Moment,https://www.deezer.com/track/916426,339,869315,True,https://cdns-preview-6.dzcdn.net/stream/c-6a0f240c7bd580e87697146ed3247ab5-8.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
7,1109731,True,Lose Yourself,https://www.deezer.com/track/1109731,326,982936,True,https://cdns-preview-1.dzcdn.net/stream/c-13039fed16a173733f227b0bec631034-12.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
8,1865118037,True,EMIN3M,https://www.deezer.com/track/1865118037,253,272564,False,https://cdns-preview-4.dzcdn.net/stream/c-4d4587f2f16af9a251c7fb97f60aeb97-3.mp3,96975832,GS Beats,https://www.deezer.com/artist/96975832,https://api.deezer.com/artist/96975832/image,https://e-cdns-images.dzcdn.net/images/artist/062017036d432be40dc795678a486d61/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/062017036d432be40dc795678a486d61/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/062017036d432be40dc795678a486d61/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/062017036d432be40dc795678a486d61/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/96975832/top?limit=50,artist
9,1109730,True,Stan,https://www.deezer.com/track/1109730,403,934036,True,https://cdns-preview-d.dzcdn.net/stream/c-dbbd5055e0b4b64397e939f75ca0662b-13.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
10,72160314,True,Rap God,https://www.deezer.com/track/72160314,363,835603,True,https://cdns-preview-2.dzcdn.net/stream/c-205eea8eadb272530519332641c97cf6-1.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
11,548348732,True,Venom (Music From The Motion Picture),https://www.deezer.com/track/548348732,269,854453,True,https://cdns-preview-8.dzcdn.net/stream/c-8ad574e54c315bd9f89ba34deb2c7650-6.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
12,916414,True,Cleanin' Out My Closet,https://www.deezer.com/track/916414,297,788822,True,https://cdns-preview-f.dzcdn.net/stream/c-f052966abff92ac3ca9e29fbe62b50eb-8.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
13,979041,True,Smack That (Clean),https://www.deezer.com/track/979041,216,896329,False,https://cdns-preview-c.dzcdn.net/stream/c-c45ae335d3f89e153c37217f4495cefc-4.mp3,38,Akon,https://www.deezer.com/artist/38,https://api.deezer.com/artist/38/image,https://e-cdns-images.dzcdn.net/images/artist/170c57b66d6dc1652f7de7d69042761a/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/170c57b66d6dc1652f7de7d69042761a/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/170c57b66d6dc1652f7de7d69042761a/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/170c57b66d6dc1652f7de7d69042761a/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/38/top?limit=50,artist
14,1109729,True,My Name Is,https://www.deezer.com/track/1109729,268,848029,True,https://cdns-preview-b.dzcdn.net/stream/c-b410ccaf3c000eeaa74025f558892638-12.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
15,2459657805,True,eminem (Sped Up),https://www.deezer.com/track/2459657805,320,360526,False,https://cdns-preview-6.dzcdn.net/stream/c-6674a7a02e9a66c12974267e016d8fce-1.mp3,127303972,Lilybelle,https://www.deezer.com/artist/127303972,https://api.deezer.com/artist/127303972/image,https://e-cdns-images.dzcdn.net/images/artist/1f944f6daa64127574dcf0859ec3d8f3/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/1f944f6daa64127574dcf0859ec3d8f3/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/1f944f6daa64127574dcf0859ec3d8f3/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/1f944f6daa64127574dcf0859ec3d8f3/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/127303972/top?limit=50,artist
16,1176211,True,Under The Influence,https://www.deezer.com/track/1176211,321,732143,True,https://cdns-preview-0.dzcdn.net/stream/c-0c4f867487e0d55aaa10e550084b3ffd-4.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
17,1176202,True,The Real Slim Shady,https://www.deezer.com/track/1176202,284,738362,True,https://cdns-preview-f.dzcdn.net/stream/c-fbbe73417ae16fce847141b923953c98-4.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
18,2454196745,True,Eminem,https://www.deezer.com/track/2454196745,126,209734,False,https://cdns-preview-c.dzcdn.net/stream/c-c6cc6dcccd6f09914bcc02e6ec0b0e45-1.mp3,94235112,Alan Sdr,https://www.deezer.com/artist/94235112,https://api.deezer.com/artist/94235112/image,https://e-cdns-images.dzcdn.net/images/artist/5c0fd0b4fd411cff292ae9dd3f2a253b/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/5c0fd0b4fd411cff292ae9dd3f2a253b/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/5c0fd0b4fd411cff292ae9dd3f2a253b/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/5c0fd0b4fd411cff292ae9dd3f2a253b/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/94235112/top?limit=50,artist
19,1579904,True,"Lose Yourself (From ""8 Mile"" Soundtrack)",https://www.deezer.com/track/1579904,321,763065,False,https://cdns-preview-b.dzcdn.net/stream/c-bb112ef835b82f77ac3ca59fefad3d6f-5.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
20,916413,True,Business,https://www.deezer.com/track/916413,251,686717,True,https://cdns-preview-c.dzcdn.net/stream/c-c1fce481b4f88f273a26ee6fa1d68285-9.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
21,2475211941,True,eminem (sped up),https://www.deezer.com/track/2475211941,320,248017,False,https://cdns-preview-6.dzcdn.net/stream/c-6674a7a02e9a66c12974267e016d8fce-1.mp3,232828921,CUPPCEC,https://www.deezer.com/artist/232828921,https://api.deezer.com/artist/232828921/image,https://e-cdns-images.dzcdn.net/images/artist/d7a6db3e505c8115088d6ca8d81384df/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/d7a6db3e505c8115088d6ca8d81384df/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/d7a6db3e505c8115088d6ca8d81384df/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/d7a6db3e505c8115088d6ca8d81384df/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/232828921/top?limit=50,artist
22,3729755,True,Beautiful,https://www.deezer.com/track/3729755,392,708143,True,https://cdns-preview-e.dzcdn.net/stream/c-e92465651c31a0e9d61467de54e1aa35-11.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
23,555640142,True,Venom (Music From The Motion Picture),https://www.deezer.com/track/555640142,269,728522,True,https://cdns-preview-c.dzcdn.net/stream/c-c2f1132eab78414f78402c5f3dd35f5b-6.mp3,13,Eminem,https://www.deezer.com/artist/13,https://api.deezer.com/artist/13/image,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/13/top?limit=50,artist
24,2436174855,True,Eminem,https://www.deezer.com/track/2436174855,172,144451,True,https://cdns-preview-6.dzcdn.net/stream/c-68e8a7bb6f1a0ef61a7bf53f8eee9db8-1.mp3,67638312,Enzo from the Block,https://www.deezer.com/artist/67638312,https://api.deezer.com/artist/67638312/image,https://e-cdns-images.dzcdn.net/images/artist/7ec17eaf207db20d709bb3797c0b3f79/56x56-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/7ec17eaf207db20d709bb3797c0b3f79/250x250-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/7ec17eaf207db20d709bb3797c0b3f79/500x500-000000-80-0-0.jpg,https://e-cdns-images.dzcdn.net/images/artist/7ec17eaf207db20d709bb3797c0b3f79/1000x1000-000000-80-0-0.jpg,https://api.deezer.com/artist/67638312/top?limit=50,artist
